symbol,date,year,quarter,announcement_date,eps_actual,revenue_actual,beat
NVDA,2017-07-31,2017,3,2017-11-09,0.03,2636000000.0,1.0
NVDA,2017-10-31,2017,4,2018-02-08,0.04,2911000000.0,1.0
NVDA,2018-04-30,2018,2,2018-08-16,0.05,3123000000.0,1.0
NVDA,2018-07-31,2018,3,2018-11-15,0.05,3181000000.0,1.0
NVDA,2018-10-31,2018,4,2019-02-14,0.02,2205000000.0,1.0
NVDA,2019-04-30,2019,2,2019-08-15,0.03,2579000000.0,1.0
NVDA,2019-07-31,2019,3,2019-11-14,0.04,3014000000.0,1.0
NVDA,2019-10-31,2019,4,2020-02-13,0.05,3105000000.0,1.0
NVDA,2020-04-30,2020,2,2020-08-19,0.05,3866000000.0,1.0
NVDA,2020-07-31,2020,3,2020-11-18,0.07,4726000000.0,1.0
NVDA,2020-10-31,2020,4,2021-02-24,0.08,5003000000.0,1.0
NVDA,2021-04-30,2021,2,2021-08-18,0.1,6507000000.0,1.0
NVDA,2021-07-31,2021,3,2021-11-17,0.12,7103000000.0,1.0
NVDA,2021-10-31,2021,4,2022-02-16,0.13,7643000000.0,1.0
NVDA,2022-04-30,2022,2,2022-08-24,0.05,6704000000.0,0.0
NVDA,2022-07-31,2022,3,2022-11-16,0.06,5931000000.0,1.0
NVDA,2022-10-31,2022,4,2023-02-22,0.09,6051000000.0,1.0
NVDA,2023-04-30,2023,2,2023-08-23,0.27,13507000000.0,1.0
NVDA,2023-07-31,2023,3,2023-11-21,0.4,18120000000.0,1.0
NVDA,2023-10-31,2023,4,2024-02-21,0.52,22103000000.0,1.0
NVDA,2024-04-30,2024,2,2024-08-28,0.68,30040000000.0,1.0
NVDA,2024-07-31,2024,3,2024-11-20,0.81,35082000000.0,1.0
NVDA,2024-10-31,2024,4,2025-02-26,0.89,39331000000.0,1.0
NVDA,2025-04-30,2025,2,2025-08-27,1.05,46743000000.0,1.0
NVDA,2025-07-31,2025,3,2025-11-19,1.3,57006000000.0,1.0
NVDA,2025-10-31,2025,4,2026-02-25,1.76,68127000000.0,1.0
